log_name,timestamp,id,index,container_id,container_name,log,source
du,2025-09-18 17:44:20,U6zCXJkBdI0Tb9Y5q_bf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 512.0,stdout
du,2025-09-18 17:44:20,VazCXJkBdI0Tb9Y5q_bf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66514392 pps   25034 kbps  969760][tx 74565168 pps   28032 kbps 1892001][Total Msgs_Rcvd 66514392],stdout
du,2025-09-18 17:44:20,VqzCXJkBdI0Tb9Y5q_bf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62428632 prach0 4085760],stdout
du,2025-09-18 17:44:18,T6zCXJkBdI0Tb9Y5pvYR,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 384.0,stdout
du,2025-09-18 17:44:18,UazCXJkBdI0Tb9Y5pvYR,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66489358 pps   25028 kbps  970706][tx 74537136 pps   28032 kbps 1892001][Total Msgs_Rcvd 66489358],stdout
du,2025-09-18 17:44:18,UqzCXJkBdI0Tb9Y5pvYR,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62405134 prach0 4084224],stdout
du,2025-09-18 17:44:17,S6zCXJkBdI0Tb9Y5ofbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 256.0,stdout
du,2025-09-18 17:44:17,TazCXJkBdI0Tb9Y5ofbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66464330 pps   25032 kbps  970285][tx 74509104 pps   28032 kbps 1892001][Total Msgs_Rcvd 66464330],stdout
du,2025-09-18 17:44:17,TqzCXJkBdI0Tb9Y5ofbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62381642 prach0 4082688],stdout
du,2025-09-18 17:44:16,R6zCXJkBdI0Tb9Y5nPbh,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 128.0,stdout
du,2025-09-18 17:44:16,SazCXJkBdI0Tb9Y5nPbh,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66439298 pps   25050 kbps  970601][tx 74481072 pps   28032 kbps 1892001][Total Msgs_Rcvd 66439298],stdout
du,2025-09-18 17:44:16,SqzCXJkBdI0Tb9Y5nPbh,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62358146 prach0 4081152],stdout
du,2025-09-18 17:44:14,QazCXJkBdI0Tb9Y5lvYh,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 0.0,stdout
du,2025-09-18 17:44:14,Q6zCXJkBdI0Tb9Y5lvYh,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66414248 pps   25044 kbps  969970][tx 74453040 pps   28032 kbps 1892001][Total Msgs_Rcvd 66414248],stdout
