rx,tx,pps,kbps,frame,slot,BLER,RSRP,PRACH,PUSCH,warning_flag,log_type,rx_tx_ratio,label
0,0,0,0,512,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66514392,74565168,25034,969760,0,0,0.0,0,0,0,0,0m[HW,0.10796966218865087,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,384,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66489358,74537136,25028,970706,0,0,0.0,0,0,0,0,0m[HW,0.10797004596473897,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,256,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66464330,74509104,25032,970285,0,0,0.0,0,0,0,0,0m[HW,0.10797034950252522,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,128,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66439298,74481072,25050,970601,0,0,0.0,0,0,0,0,0m[HW,0.10797070697371274,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,0,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66414248,74453040,25044,969970,0,0,0.0,0,0,0,0,0m[HW,0.10797130647721033,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,0,0,0.0,0,0,0,0,0m[PHY,0.0,0
0,0,0,0,0,0,0.0,0,0,0,0,0m[PHY,0.0,0
0,0,0,0,896,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66389204,74425008,25006,969235,0,0,0.0,0,0,0,0,0m[HW,0.10797182581424782,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,768,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66364198,74396976,25020,969970,0,0,0.0,0,0,0,0,0m[HW,0.10797183476919815,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,640,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66339178,74368944,25060,971231,0,0,0.0,0,0,0,0,0m[HW,0.10797203198152175,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,512,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66314118,74340912,25028,970601,0,0,0.0,0,0,0,0,0m[HW,0.10797276740430625,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,384,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66289090,74312880,25016,969550,0,0,0.0,0,0,0,0,0m[HW,0.10797307277015775,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,256,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66264074,74284848,25026,969865,0,0,0.0,0,0,0,0,0m[HW,0.10797321682612852,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
66239048,74256816,25042,970075,0,0,0.0,0,0,0,0,0m[HW,0.10797349565863422,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,128,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
0,0,0,0,0,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66214006,74228784,25008,970496,0,0,0.0,0,0,0,0,0m[HW,0.10797399025154447,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,0,0,0.0,0,0,0,0,0m[PHY,0.0,0
0,0,0,0,0,0,0.0,0,0,0,0,0m[PHY,0.0,0
0,0,0,0,896,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66188998,74200752,25042,970391,0,0,0.0,0,0,0,0,0m[HW,0.10797402700177486,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,768,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66163956,74172720,25036,969760,0,0,0.0,0,0,0,0,0m[HW,0.10797452216933665,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,640,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66138920,74144688,25044,970285,0,0,0.0,0,0,0,0,0m[HW,0.1079749367884588,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,512,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66113876,74116656,25018,970391,0,0,0.0,0,0,0,0,0m[HW,0.10797545965916218,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,384,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66088858,74088624,25030,969760,0,0,0.0,0,0,0,0,0m[HW,0.10797563199446111,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,256,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66063828,74060592,25058,970916,0,0,0.0,0,0,0,0,0m[HW,0.10797596648970886,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,128,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66038770,74032560,25034,970285,0,0,0.0,0,0,0,0,0m[HW,0.10797667945023108,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,0,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
66013736,74004528,25032,970496,0,0,0.0,0,0,0,0,0m[HW,0.10797706864639418,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,0,0,0.0,0,0,0,0,0m[PHY,0.0,0
0,0,0,0,0,0,0.0,0,0,0,0,0m[PHY,0.0,0
0,0,0,0,896,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
65988704,73976496,25036,970180,0,0,0.0,0,0,0,0,0m[HW,0.10797743110190025,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,768,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
65963668,73948464,25050,970391,0,0,0.0,0,0,0,0,0m[HW,0.10797784792392713,1
0,0,0,0,0,0,0.0,0,0,0,0,0m[HW,0.0,0
0,0,0,0,640,0,0.0,0,0,0,0,0m[NR_MAC,0.0,0
